university,campus,address,latitude,longitude
서울대학교,관악캠퍼스,서울특별시 관악구 관악로 1,37.4662872666604,126.94815644252
연세대학교,신촌캠퍼스,서울특별시 서대문구 연세로 50,37.5660508394158,126.943916239886
고려대학교,서울캠퍼스,서울특별시 성북구 안암로 145,37.5887034223667,127.031698331241
서강대학교,서울캠퍼스,서울특별시 마포구 백범로 35,37.5514649610226,126.942979960696
성균관대학교,인문사회과학캠퍼스,서울특별시 종로구 성균관로 25-2,37.5872284082508,126.993115116294
한양대학교,서울캠퍼스,서울특별시 성동구 왕십리로 222,37.5545036393023,127.046611216845
중앙대학교,서울캠퍼스,서울특별시 동작구 흑석로 84,37.5047267237807,126.953833907628
경희대학교,서울캠퍼스,서울특별시 동대문구 경희대로 26,37.5939491407769,127.054890960564
한국외국어대학교,서울캠퍼스,서울특별시 동대문구 이문로 107,37.5982966771548,127.057942413722
서울시립대학교,서울캠퍼스,서울특별시 동대문구 서울시립대로 163,37.5825775765293,127.059988126984
건국대학교,서울캠퍼스,서울특별시 광진구 능동로 120,37.539182674872,127.074711902268
동국대학교,서울캠퍼스,서울특별시 중구 필동로1길 30,37.5589366401553,126.998737605491
홍익대학교,서울캠퍼스,서울특별시 마포구 와우산로 94,37.5525245968145,126.9250355422
국민대학교,서울캠퍼스,서울특별시 성북구 정릉로 77,37.6102919873059,126.998494142731
숭실대학교,서울캠퍼스,서울특별시 동작구 상도로 369,37.4964289688636,126.955157917408
세종대학교,서울캠퍼스,서울특별시 광진구 능동로 209,37.5516093089619,127.07318364213
광운대학교,서울캠퍼스,서울특별시 노원구 광운로 20,37.619379129478,127.058263354527
명지대학교,인문캠퍼스,서울특별시 서대문구 거북골로 34,37.5803770223812,126.921348530876
가천대학교,글로벌캠퍼스,경기도 성남시 수정구 성남대로 1342,37.4512354999687,127.129394553358
서울과학기술대학교,서울캠퍼스,서울특별시 노원구 공릉로 232,37.6330789279387,127.076794742851
